Occupational Title,SOC,Estimated Employment,Entry Hourly,Mean Hourly,Experienced Hourly,Entry Annual,Mean Annual,Experienced Annual
"First-Line Supervisors of Transportation and Material-Moving Workers, Except Aircraft Cargo Handling Supervisors",53-1047,1110.00,$20.82,$31.46,$36.79,$43310,$65448,$76517
Air Transportation Workers,53-2000,180.00,,,,$71769,$111153,$130845
"Airline Pilots, Copilots, and Flight Engineers",53-2011,30.00,,,,$133036,$162615,$177404
Commercial Pilots,53-2012,80.00,,,,$64319,$97656,$114325
Motor Vehicle Operators,53-3000,6350.00,$12.31,$22.61,$27.76,$25605,$47031,$57744
Driver/Sales Workers,53-3031,570.00,$10.23,$17.76,$21.54,$21273,$36953,$44792
Heavy and Tractor-Trailer Truck Drivers,53-3032,2700.00,$20.39,$28.24,$32.17,$42407,$58746,$66916
Light Truck Drivers,53-3033,1700.00,$15.93,$23.58,$27.40,$33140,$49044,$56997
"Bus Drivers, School",53-3051,1080.00,$8.86,$10.93,$11.96,$18426,$22727,$24878
"Bus Drivers, Transit and Intercity",53-3052,110.00,$18.53,$20.76,$21.88,$38524,$43185,$45515
Shuttle Drivers and Chauffeurs,53-3053,160.00,$12.29,$15.96,$17.80,$25557,$33203,$37027
Other Transportation Workers,53-6000,400.00,$12.77,$16.91,$18.97,$26570,$35166,$39464
Parking Attendants,53-6021,100.00,$10.83,$14.18,$15.86,$22535,$29499,$32981
Automotive and Watercraft Service Attendants,53-6031,230.00,$13.16,$15.86,$17.20,$27359,$32977,$35786
Traffic Technicians,53-6041,20.00,$21.64,$26.87,$29.48,$45009,$55881,$61317
Material Moving Workers,53-7000,12330.00,$14.46,$19.27,$21.67,$30072,$40079,$45083
Crane and Tower Operators,53-7021,40.00,$19.18,$24.98,$27.88,$39903,$51954,$57979
Industrial Truck and Tractor Operators,53-7051,1190.00,$18.09,$22.99,$25.44,$37617,$47819,$52921
Cleaners of Vehicles and Equipment,53-7061,820.00,$12.30,$15.99,$17.83,$25599,$33257,$37086
"Laborers and Freight, Stock, and Material Movers, Hand",53-7062,4370.00,$15.21,$19.85,$22.17,$31642,$41293,$46119
Machine Feeders and Offbearers,53-7063,60.00,$13.10,$19.06,$22.04,$27252,$39638,$45832
"Packers and Packagers, Hand",53-7064,610.00,$12.47,$15.94,$17.68,$25943,$33160,$36769
Stockers and Order Fillers,53-7065,5010.00,$14.86,$18.47,$20.28,$30909,$38425,$42183
Refuse and Recyclable Material Collectors,53-7081,180.00,$19.22,$25.52,$28.67,$39985,$53078,$59624
